179.08	1205.64
179.29	1205.64
179.50	1205.64
179.72	1207.48
179.93	1209.53
180.15	2507.74
180.36	2090.57
180.58	3479.70
180.79	3324.06
181.00	1982.23
181.22	2017.04
181.43	3353.14
181.65	3611.39
181.86	2216.52
182.08	1823.92
182.29	3622.04
182.50	3184.80
182.72	1880.24
182.93	2355.37
183.15	3308.49
183.36	3597.67
183.57	1827.61
183.79	2171.67
184.00	3218.59
184.22	3396.76
184.43	2009.26
184.65	2181.29
184.86	3215.11
185.07	3236.20
185.29	1771.90
185.50	1970.15
185.72	3424.82
185.93	3407.21
186.14	1999.43
186.36	1953.15
186.57	3035.91
186.79	3930.67
187.00	2058.41
187.21	2191.33
187.43	3567.77
187.64	3288.42
187.86	1968.30
188.07	2386.29
188.28	3083.22
188.50	3683.68
188.71	2273.45
188.93	1972.60
189.14	2966.28
189.35	2853.43
189.57	2010.08
189.78	1986.73
190.00	3088.54
190.21	3333.07
190.42	1885.56
190.64	1830.27
190.85	3316.48
191.07	3512.27
191.28	1909.12
191.49	2161.84
191.71	3256.48
191.92	3353.75
192.14	1848.50
192.35	2263.82
192.56	3262.41
192.78	3442.64
192.99	1944.96
193.20	2309.08
193.42	3417.24
193.63	3458.61
193.85	2240.89
194.06	1924.07
194.27	2926.96
194.49	3666.07
194.70	2153.44
194.91	1962.16
195.13	3088.13
195.34	3116.60
195.56	2005.78
195.77	2110.02
195.98	3440.18
196.20	3303.58
196.41	2027.28
196.62	2143.40
196.84	2901.97
197.05	3323.24
197.27	1907.27
197.48	2073.98
197.69	2835.21
197.91	3025.87
198.12	1970.15
198.33	1705.14
198.55	3894.62
198.76	3523.33
198.97	1884.34
199.19	1990.42
199.40	2990.03
199.61	3473.76
199.83	1947.00
200.04	1856.89
200.26	3099.19
200.47	3621.01
200.68	1962.57
200.90	1911.37
201.11	3441.82
201.32	3562.44
201.54	1751.83
201.75	2051.04
201.96	2867.57
202.18	2925.11
202.39	2200.75
202.60	1959.70
202.82	2701.48
203.03	3203.84
203.24	2116.78
203.46	2249.08
203.67	3157.97
203.88	3502.03
204.10	1996.16
204.31	1875.94
204.52	3425.84
204.74	3437.52
204.95	2050.22
205.16	2113.30
205.38	3428.50
205.59	3670.57
205.80	1960.73
206.02	1851.98
206.23	3830.93
206.44	3149.37
206.66	2032.61
206.87	1942.91
207.08	3098.78
207.30	3758.84
207.51	2161.84
207.72	2255.02
207.94	3296.62
208.15	3499.98
208.36	2091.59
208.58	2056.78
208.79	3286.17
209.00	3529.88
209.22	2020.32
209.43	2027.90
209.64	3179.88
209.86	3071.54
210.07	2090.77
210.28	1851.98
