-0.0101998,-8.8
-0.0101798,-7.6
-0.0101598,-7.2
-0.0101398,-6.8
-0.0101198,-6.4
-0.0100998,-6
-0.0100798,-6
-0.0100598,-6
-0.0100398,-6.8
-0.0100198,-7.6
-0.00999981,-8
-0.00997981,-8
-0.00995981,-7.6
-0.00993981,-6
-0.00991981,-6
-0.00989981,-6
-0.00987981,-6.8
-0.00985981,-7.2
-0.00983981,-7.6
-0.00981981,-8
-0.00979981,-8
-0.00977981,-7.6
-0.00975981,-6.8
-0.00973981,-6.4
-0.00971981,-6
-0.00969981,-5.6
-0.00967981,-6.4
-0.00965981,-7.6
-0.00963981,-7.6
-0.00961981,-7.2
-0.00959981,-6.4
-0.00957981,-6
-0.00955981,-5.6
-0.00953981,-5.6
-0.00951981,-6
-0.00949981,-6.8
-0.00947981,-7.2
-0.00945981,-7.2
-0.00943981,-7.6
-0.00941981,-7.2
-0.00939981,-6
-0.00937981,-5.6
-0.00935981,-5.6
-0.00933981,-6
-0.00931981,-7.2
-0.00929981,-7.6
-0.00927981,-6.8
-0.00925981,-6
-0.00923981,-5.6
-0.00921981,-5.6
-0.00919981,-5.6
-0.00917981,-6
-0.00915981,-6.8
-0.00913981,-6.8
-0.00911981,-7.2
-0.00909981,-6.4
-0.00907981,-6
-0.00905981,-5.6
-0.00903981,-6
-0.00901981,-6.4
-0.00899981,-6.8
-0.00897981,-6.8
-0.00895981,-6
-0.00893981,-5.6
-0.00891981,-5.6
-0.00889981,-5.6
-0.00887981,-6
-0.00885981,-6
-0.00883981,-6.4
-0.00881981,-6.4
-0.00879981,-6.4
-0.00877981,-6
-0.00875981,-5.2
-0.00873981,-5.6
-0.00871981,-6
-0.00869981,-6.4
-0.00867981,-6.4
-0.00865981,-6
-0.00863981,-6
-0.00861981,-5.2
-0.00859981,-5.6
-0.00857981,-5.6
-0.00855981,-6
-0.00853981,-6
-0.00851981,-6
-0.00849981,-6.4
-0.00847981,-6
-0.00845981,-5.6
-0.00843981,-5.6
-0.00841981,-5.6
-0.00839981,-6.8
-0.00837981,-6
-0.00835981,-5.6
-0.00833981,-5.6
-0.00831981,-5.2
-0.00829981,-5.6
-0.00827981,-5.6
-0.00825981,-6
-0.00823981,-5.6
-0.00821981,-5.6
-0.00819981,-6
-0.00817981,-6.8
-0.00815981,-6.8
-0.00813981,-6.4
-0.00811981,-6
-0.00809981,-5.2
-0.00807981,-6
-0.00805981,-6.4
-0.00803981,-7.2
-0.00801981,-6.8
-0.00799981,-7.2
-0.00797981,-6.4
-0.00795981,-6.4
-0.00793981,-6.4
-0.00791981,-6
-0.00789981,-5.6
-0.00787981,-6
-0.00785981,-6
-0.00783981,-6.4
-0.00781981,-7.2
-0.00779981,-7.2
-0.00777981,-6
-0.00775981,-6
-0.00773981,-6
-0.00771981,-6.4
-0.00769981,-6.4
-0.00767981,-7.2
-0.00765981,-7.6
-0.00763981,-7.6
-0.00761981,-7.2
-0.00759981,-7.2
-0.00757981,-6.4
-0.00755981,-5.6
-0.00753981,-5.6
-0.00751981,-6
-0.00749981,-7.2
-0.00747981,-7.6
-0.00745981,-7.2
-0.00743981,-6
-0.00741981,-6
-0.00739981,-5.6
-0.00737981,-6.4
-0.00735981,-7.2
-0.00733981,-7.6
-0.00731981,-7.6
-0.00729981,-7.6
-0.00727981,-7.6
-0.00725981,-7.2
-0.00723981,-6
-0.00721981,-5.6
-0.00719981,-6.4
-0.00717981,-7.2
-0.00715981,-8
-0.00713981,-8
-0.00711981,-7.6
-0.00709981,-6.8
-0.00707981,-6.4
-0.00705981,-6
-0.00703981,-6
-0.00701981,-7.2
-0.00699981,-7.2
-0.00697981,-8
-0.00695981,-8.4
-0.00693981,-8
-0.00691981,-6.8
-0.00689981,-6.4
-0.00687981,-6.4
-0.00685981,-7.6
-0.00683981,-8
-0.00681981,-8.8
-0.00679981,-8.4
-0.00677981,-8
-0.00675981,-7.2
-0.00673981,-6.4
-0.00671981,-6.4
-0.00669981,-6.8
-0.00667981,-7.2
-0.00665981,-8
-0.00663981,-8.8
-0.00661981,-9.2
-0.00659981,-8.4
-0.00657981,-7.2
-0.00655981,-6.4
-0.00653981,-6.8
-0.00651981,-8
-0.00649981,-8
-0.00647981,-9.2
-0.00645981,-8.8
-0.00643981,-8.4
-0.00641981,-7.6
-0.00639981,-7.6
-0.00637981,-7.2
-0.00635981,-7.6
-0.00633981,-8
-0.00631981,-8.8
-0.00629981,-8.8
-0.00627981,-8.8
-0.00625981,-7.2
